cluster_id,keyword,fract_dimension_type,keyword_score
5,ai_can_predict_peoples_race_from_xray_images_and i9o4ui0,highest,0.5964
5,ai_can_predict_peoples_race_from_xray_images_and i9q2rwj,highest,0.6103
5,xrays ai,highest,0.4854
5,ai_can_predict_peoples_race_from_xray_images_and,highest,0.6717
5,uvxpli ai_can_predict_peoples_race_from_xray_images_and,highest,0.5677
2,ai racial,highest,0.5426
2,racists ai,highest,0.5477
2,mexicans ai,highest,0.5118
2,ais racist,highest,0.5076
2,ai racism,highest,0.5167
2,racist ai,highest,0.5257
2,minorities ai,highest,0.5086
2,racist ais,highest,0.5473
2,ai racists,highest,0.5533
2,ai identifies,highest,0.5119
2,ai discriminate,highest,0.5279
2,ai racist,highest,0.5322
2,ais racial,highest,0.4924
2,racism ai,highest,0.4909
1,contextual bandit,lowest,0.3955
1,greedy search,lowest,0.3982
1,faster search,lowest,0.3853
1,search mixing,lowest,0.4035
1,evaluation opensearch,lowest,0.4079
1,search greedy,lowest,0.3971
1,hybrid search,lowest,0.443
1,search performance,lowest,0.4164
1,bm25 search,lowest,0.3838
1,search improves,lowest,0.3852
1,learnt retrieval,lowest,0.4039
1,dense retrieval,lowest,0.3937
1,words optimization,lowest,0.4202
1,search methods,lowest,0.3943
4,sampling decoding,lowest,0.4879
4,decoding strategy,lowest,0.4126
4,greedy decoding,lowest,0.4531
4,decoding objective,lowest,0.432
4,decoder models,lowest,0.4041
4,llm sampling,lowest,0.4171
4,decoding llms,lowest,0.4042
4,uncompressed models,lowest,0.4004
4,gpt decoder,lowest,0.4767
4,decoder good,lowest,0.3841
6,contrast indexes,lowest,0.4477
6,contrastive search,lowest,0.6028
6,x_ contrastive,lowest,0.3911
6,greedy contrastive,lowest,0.4695
6,method contrastive,lowest,0.4087
6,contrastive,lowest,0.3926
0,discriminating race,highest,0.498
0,diagnosis races,highest,0.4907
0,investigating racial,highest,0.4898
0,diagnosing racial,highest,0.5108
0,imaging racial,highest,0.5887
0,diagnosis racially,highest,0.5005
0,diagnosis racial,highest,0.5146
0,diagnoses racist,highest,0.5066
3,ai misdiagnosed,highest,0.4943
3,ai misdiagnosing,highest,0.494
3,radiologists ai,highest,0.4955
