post_id,conversation_type,total_comments,total_deleted,both_deleted,author_only_deleted,content_only_deleted,active_comments,deletion_percentage,max_depth,thread_title,original_count,filtered_count,removed_count,removal_percentage,original_max_depth,filtered_max_depth,content_filtering_applied,depth_cap_applied,depth_0_total,depth_0_both,depth_0_author,depth_0_content,depth_0_active,depth_1_total,depth_1_both,depth_1_author,depth_1_content,depth_1_active,depth_2_total,depth_2_both,depth_2_author,depth_2_content,depth_2_active,depth_3_total,depth_3_both,depth_3_author,depth_3_content,depth_3_active,depth_4_total,depth_4_both,depth_4_author,depth_4_content,depth_4_active,depth_5_total,depth_5_both,depth_5_author,depth_5_content,depth_5_active,depth_6_total,depth_6_both,depth_6_author,depth_6_content,depth_6_active,depth_7_total,depth_7_both,depth_7_author,depth_7_content,depth_7_active,depth_8_total,depth_8_both,depth_8_author,depth_8_content,depth_8_active,depth_9_total,depth_9_both,depth_9_author,depth_9_content,depth_9_active,depth_10_total,depth_10_both,depth_10_author,depth_10_content,depth_10_active,depth_11_total,depth_11_both,depth_11_author,depth_11_content,depth_11_active,depth_12_total,depth_12_both,depth_12_author,depth_12_content,depth_12_active,depth_13_total,depth_13_both,depth_13_author,depth_13_content,depth_13_active,depth_14_total,depth_14_both,depth_14_author,depth_14_content,depth_14_active,depth_15_total,depth_15_both,depth_15_author,depth_15_content,depth_15_active,depth_16_total,depth_16_both,depth_16_author,depth_16_content,depth_16_active,depth_17_total,depth_17_both,depth_17_author,depth_17_content,depth_17_active,depth_18_total,depth_18_both,depth_18_author,depth_18_content,depth_18_active,depth_19_total,depth_19_both,depth_19_author,depth_19_content,depth_19_active
post10hb,richly branching,35,6,0,6,0,29,17.14,8,Why we need more Women in AI (Content-Filtered - Full Tree),35,35,0,0.0,8,8,True,False,10,0,2,0,8,7,0,2,0,5,8,0,0,0,8,5,0,2,0,3,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post10lb,poorly branching,6,0,0,0,0,6,0.0,3,"Despite the STEM gender gap, most of the researchers at this B.C. AI lab are women (Content-Filtered - Full Tree)",6,6,0,0.0,3,3,True,False,2,0,0,0,2,1,0,0,0,1,1,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post11lb,poorly branching,52,0,0,0,0,52,0.0,9,"AI could affect 40% of jobs and widen inequality between nations, UN warns - Artificial intelligence is projected to reach $4.8 trillion in market value by 2033, roughly equating to the size of Germany’s economy, the U.N. Trade and Development agency said in a report. (Content-Filtered - Full Tree)",52,52,0,0.0,9,9,True,False,19,0,0,0,19,8,0,0,0,8,5,0,0,0,5,8,0,0,0,8,6,0,0,0,6,2,0,0,0,2,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post12hb,richly branching,115,11,0,11,0,104,9.57,4,Why are most AI voices women's voices? (Content-Filtered - Full Tree),117,115,2,1.71,4,4,True,False,70,0,7,0,63,30,0,2,0,28,9,0,1,0,8,4,0,1,0,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post12lb,poorly branching,20,2,0,2,0,18,10.0,3,Skill and knowledge reduction with AI (Content-Filtered - Full Tree),20,20,0,0.0,3,3,True,False,11,0,1,0,10,6,0,0,0,6,2,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post13hb,richly branching,266,48,0,48,0,218,18.05,23,Study: Automation drives income inequality (Content-Filtered - Full Tree),267,266,1,0.37,23,23,True,False,39,0,9,0,30,36,0,5,0,31,36,0,10,0,26,34,0,2,0,32,26,0,4,0,22,19,0,2,0,17,15,0,4,0,11,9,0,1,0,8,10,0,3,0,7,8,0,0,0,8,6,0,2,0,4,5,0,0,0,5,4,0,2,0,2,2,0,0,0,2,2,0,1,0,1,2,0,0,0,2,2,0,1,0,1,2,0,0,0,2,2,0,1,0,1,2,0,0,0,2
post13lb,poorly branching,79,1,0,1,0,78,1.27,6,Does anyone work full time at Data Annotation and how is it? (Content-Filtered - Full Tree),79,79,0,0.0,6,6,True,False,15,0,0,0,15,20,0,1,0,19,17,0,0,0,17,12,0,0,0,12,9,0,0,0,9,3,0,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post14hb,richly branching,455,16,0,16,0,439,3.52,15,'Godfather of AI' explains how 'scary' AI will increase the wealth gap and 'make society worse' (Content-Filtered - Full Tree),473,455,18,3.81,15,15,True,False,108,0,10,0,98,92,0,3,0,89,91,0,0,0,91,61,0,2,0,59,44,0,1,0,43,20,0,0,0,20,11,0,0,0,11,11,0,0,0,11,5,0,0,0,5,3,0,0,0,3,3,0,0,0,3,2,0,0,0,2,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post14lb,poorly branching,40,5,0,5,0,35,12.5,9,Working dataannotation full time? (Content-Filtered - Full Tree),45,40,5,11.11,10,9,True,False,18,0,4,0,14,9,0,1,0,8,5,0,0,0,5,2,0,0,0,2,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post15hb,richly branching,106,9,0,9,0,97,8.49,6,Will AI help or hurt Wealth Inequality over the next 10 years? (Content-Filtered - Full Tree),108,106,2,1.85,6,6,True,False,52,0,4,0,48,17,0,3,0,14,16,0,1,0,15,6,0,0,0,6,8,0,0,0,8,5,0,1,0,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post16hb,richly branching,92,0,0,0,0,92,0.0,8,Will AI Displace More Jobs Than It Creates? (Content-Filtered - Full Tree),93,92,1,1.08,8,8,True,False,24,0,0,0,24,20,0,0,0,20,20,0,0,0,20,8,0,0,0,8,7,0,0,0,7,6,0,0,0,6,4,0,0,0,4,2,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post16lb,poorly branching,24,2,0,2,0,22,8.33,2,What do you do when your current skill set is replaced by AI? (Content-Filtered - Full Tree),25,24,1,4.0,2,2,True,False,16,0,2,0,14,7,0,0,0,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post17lb,poorly branching,25,0,0,0,0,25,0.0,17,[R] academic survey about diversity in AI development/research teams (Content-Filtered - Full Tree),25,25,0,0.0,17,17,True,False,3,0,0,0,3,4,0,0,0,4,2,0,0,0,2,2,0,0,0,2,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
