post_id,fractal_dimension,conversation_type,thread_title,group
post50hb,1.6001453961458911,richly branching,"AI can predict people's race from X-Ray images, and scientists are concerned",Highest
post5hb,1.5948230389474962,richly branching,Facial recognition can't tell black and brown people apart - but the police are using it anyway,Highest
post2hb,1.567806103670254,richly branching,"Robots With Flawed AI Make Sexist And Racist Decisions, Experiment Shows. ""We're at risk of creating a generation of racist and sexist robots, but people and organizations have decided it's OK to create these products without addressing the issues.""",Highest
post57hb,1.5460908309676673,richly branching,"In an age where hiring is becoming increasingly automated, every single LLM was found to have very strong gender preferences when asked to pick identical resumes with only a gender difference (for ALL jobs)",Highest
post18hb,1.5358493545348455,richly branching,Avoid this company: Data Annotation,Highest
post29hb,1.5294767856968667,richly branching,"Fiverr CEO to employees: ""Here is the unpleasant truth: AI is coming for your jobs. Heck, it's coming for my job too. This is a wake up call.""",Highest
post1hb,1.529129882645509,richly branching,AI generates covertly racist decisions about people based on their dialect,Highest
post47hb,1.529129882645509,richly branching,AI generates covertly racist decisions about people based on their dialect,Highest
post34hb,1.5238084159096668,richly branching,There is no need for immigration when AI is about to destroy hundreds of Millions of Jobs.,Highest
post33hb,1.523173621935305,richly branching,"Once jobs are automated, what will be the point of immigration?",Highest
post7lb,0.111396923154935,poorly branching,GenderBench - Evaluation suite for gender biases in LLMs,Lowest
post10lb,0.3644601861909935,poorly branching,"Despite the STEM gender gap, most of the researchers at this B.C. AI lab are women",Lowest
post21lb,0.4191869871864478,poorly branching,ELI5: How/why does facial recognition have trouble with non-white personnel?,Lowest
post22lb,0.4191869871864478,poorly branching,ELI5: How/why does facial recognition have trouble with non-white personnel?,Lowest
post51lb,0.6692847952807257,poorly branching,"Homeland Security is testing AI to help with immigration, trafficking investigations, and disaster relief",Lowest
post20lb,0.6756241153332649,poorly branching,"Why are facial recognition algorithms ""racist""?",Lowest
post47lb,0.676282748477937,poorly branching,What Engineers Should Know About AI Jobs in 2025,Lowest
post25lb,0.6845590876874087,poorly branching,Historical context of AI and gender inequality,Lowest
post54lb,0.7106025146589168,poorly branching,AI Surveillance & Privacy: Can They Coexist?,Lowest
post5lb,0.7497198447814801,poorly branching,Racial bias in facial recognition technology the focus of bill introduced by Rep. Lawrence,Lowest
