post_id,conversation_type,total_comments,total_words,total_characters,avg_words_per_comment,median_words_per_comment,std_words_per_comment,min_words_per_comment,max_words_per_comment,avg_word_length_overall,max_depth_reached,comments_at_depth_0,comments_at_depth_1,comments_at_depth_2,comments_at_depth_3,comments_at_depth_4,avg_words_depth_0,avg_words_depth_1,avg_words_depth_2,avg_words_depth_3,avg_words_depth_4,depth_cap_applied,max_depth_analyzed
post10hb,richly branching,31,1680,9303,54.19,28.0,56.8,1,230,4.49,4,10,7,8,5,1,66.5,54.71,31.25,66.4,50.0,Yes,4
post10lb,poorly branching,6,555,3187,92.5,95.5,55.39,22,164,4.47,3,2,1,1,2,0,40.5,132.0,142.0,100.0,0,Yes,4
post11lb,poorly branching,46,4014,23433,87.26,56.0,84.68,7,378,4.55,4,19,8,5,8,6,79.84,93.88,81.0,132.25,47.17,Yes,4
post12hb,richly branching,117,2646,14584,22.62,15.0,33.42,0,328,4.39,4,70,30,9,5,3,22.09,29.63,16.22,7.4,9.33,Yes,4
post12lb,poorly branching,20,2413,13421,120.65,113.5,84.05,2,345,4.52,3,11,6,2,1,0,155.64,51.83,151.5,87.0,0,Yes,4
post13hb,richly branching,172,8321,47822,48.38,34.0,55.61,1,534,4.68,4,39,37,36,34,26,54.59,47.05,39.28,59.38,39.15,Yes,4
post13lb,poorly branching,73,2516,13034,34.47,17.0,63.15,1,448,4.2,4,15,20,17,12,9,68.87,22.95,28.88,30.42,18.67,Yes,4
post14hb,richly branching,399,16254,91598,40.74,24.0,50.11,1,482,4.59,4,108,85,91,64,51,33.4,37.56,49.01,40.95,46.53,Yes,4
post14lb,poorly branching,39,1566,7954,40.15,27.0,39.17,1,152,4.41,4,17,10,8,3,1,55.88,18.0,39.12,34.33,20.0,Yes,4
post15hb,richly branching,101,8442,49610,83.58,39.0,132.24,0,818,4.62,4,52,18,16,7,8,92.31,73.11,106.88,25.29,54.88,Yes,4
post16hb,richly branching,79,5353,29914,67.76,30.0,117.97,1,845,4.51,4,24,20,20,8,7,104.12,48.0,47.25,21.25,111.29,Yes,4
post16lb,poorly branching,25,1489,8445,59.56,48.0,55.04,1,202,4.67,2,16,8,1,0,0,60.38,61.88,28.0,0,0,Yes,4
post17lb,poorly branching,12,646,3795,53.83,40.0,44.67,7,176,4.84,4,3,4,2,2,1,98.0,28.75,38.0,63.5,34.0,Yes,4
post18hb,richly branching,462,22913,123049,49.6,30.0,63.13,0,521,4.52,4,98,106,105,88,65,60.78,45.6,52.57,41.68,45.15,Yes,4
post18lb,poorly branching,73,3237,17546,44.34,23.0,65.61,1,463,4.45,4,46,16,6,4,1,54.28,29.75,23.0,23.5,32.0,Yes,4
post19hb,richly branching,41,4045,24949,98.66,56.0,122.98,1,604,5.1,4,13,7,9,6,6,106.46,52.57,88.44,59.33,190.17,Yes,4
post1hb,richly branching,252,9829,56457,39.0,24.0,41.18,1,271,4.77,4,46,63,50,47,46,42.96,30.83,32.82,41.47,50.46,Yes,4
post1lb,poorly branching,59,1652,9375,28.0,16.0,30.32,1,144,4.58,4,19,26,10,3,1,24.74,32.65,20.7,37.33,14.0,Yes,4
post20hb,richly branching,600,33009,180512,55.02,36.0,56.63,0,449,4.37,4,311,109,77,68,35,55.86,56.5,49.08,54.0,57.97,Yes,4
post20lb,poorly branching,11,2662,15729,242.0,84.0,380.72,1,1332,5.13,4,2,4,3,1,1,805.0,44.0,203.0,92.0,175.0,Yes,4
post21hb,richly branching,318,8628,49561,27.13,17.0,37.39,0,402,4.73,4,75,81,65,61,36,18.0,30.8,32.82,24.64,31.86,Yes,4
post21lb,poorly branching,9,1020,5658,113.33,47.0,98.21,2,251,4.43,2,4,3,2,0,0,164.25,21.67,149.0,0,0,Yes,4
post22hb,richly branching,36,1917,10774,53.25,42.5,44.39,0,219,4.51,4,7,8,10,5,6,55.14,54.0,39.2,44.2,81.0,Yes,4
post22lb,poorly branching,9,1020,5658,113.33,47.0,98.21,2,251,4.43,2,4,3,2,0,0,164.25,21.67,149.0,0,0,Yes,4
post23hb,richly branching,87,6035,33989,69.37,31.0,140.73,0,1173,4.56,4,42,17,11,7,10,80.24,36.59,77.0,66.0,73.4,Yes,4
post23lb,poorly branching,31,1830,10426,59.03,37.0,54.95,7,228,4.51,2,18,9,4,0,0,70.72,49.22,28.5,0,0,Yes,4
post24hb,richly branching,64,2866,16290,44.78,31.0,47.05,1,236,4.72,4,12,16,16,9,11,39.17,45.62,37.06,63.22,45.82,Yes,4
post25hb,richly branching,61,7672,43970,125.77,81.0,133.63,3,585,4.59,4,12,14,14,10,11,146.75,80.71,104.57,134.4,179.36,Yes,4
post25lb,poorly branching,19,970,5771,51.05,27.0,44.19,1,152,4.9,2,10,5,4,0,0,49.6,39.6,69.0,0,0,Yes,4
post26hb,richly branching,171,9259,53278,54.15,28.0,82.49,1,786,4.69,4,72,29,35,22,13,50.57,41.69,49.86,67.41,90.85,Yes,4
post26lb,poorly branching,17,788,4529,46.35,25.0,42.89,1,132,4.67,3,7,6,3,1,0,40.71,47.0,54.33,58.0,0,Yes,4
post27hb,richly branching,74,3509,19387,47.42,29.5,56.27,1,273,4.39,4,26,21,11,7,9,41.08,52.24,60.09,22.29,58.56,Yes,4
post27lb,poorly branching,13,1088,6554,83.69,24.0,119.27,1,404,4.42,4,3,3,4,1,2,184.0,146.67,8.75,24.0,18.5,Yes,4
post28hb,richly branching,173,15689,89553,90.69,49.0,117.34,1,957,4.68,4,43,28,39,36,27,146.56,86.04,73.59,68.89,60.3,Yes,4
post28lb,poorly branching,25,1489,8445,59.56,48.0,55.04,1,202,4.67,2,16,8,1,0,0,60.38,61.88,28.0,0,0,Yes,4
