parent_post_id,conversation_type,subtree_id,subtree_root_author,subtree_root_depth,subtree_max_depth,subtree_depth_span,subtree_root_score,subtree_root_timestamp,total_comments,total_words,total_characters,avg_words_per_comment,median_words_per_comment,std_words_per_comment,min_words_per_comment,max_words_per_comment,avg_word_length_overall,max_normalized_depth_reached,max_original_depth_reached,norm_comments_at_depth_0,norm_comments_at_depth_1,norm_comments_at_depth_2,norm_comments_at_depth_3,norm_comments_at_depth_4,orig_comments_at_depth_0,orig_comments_at_depth_1,orig_comments_at_depth_2,orig_comments_at_depth_3,orig_comments_at_depth_4,norm_avg_words_depth_0,norm_avg_words_depth_1,norm_avg_words_depth_2,norm_avg_words_depth_3,norm_avg_words_depth_4,orig_avg_words_depth_0,orig_avg_words_depth_1,orig_avg_words_depth_2,orig_avg_words_depth_3,orig_avg_words_depth_4,depth_cap_applied,max_depth_analyzed
post10hb,richly branching,deepest_subtree_gut-brain-axis_level4,gut-brain-axis,0,4,4,68,2023-11-30 16:00:20,12,365,1953,30.42,21.5,32.81,2,129,4.65,4,4,1,3,5,2,1,1,3,5,2,1,33.0,56.0,19.0,9.5,50.0,33.0,56.0,19.0,9.5,50.0,Yes,4
post10lb,poorly branching,deepest_subtree_surrealutensil_level4,surrealutensil,0,3,3,-4,2025-03-12 17:38:40,5,533,3081,106.6,132.0,49.89,36,164,4.63,3,3,1,1,1,2,0,1,1,1,2,0,59.0,132.0,142.0,100.0,0,59.0,132.0,142.0,100.0,0,Yes,4
post11lb,poorly branching,deepest_subtree_BlueHym_level4,BlueHym,0,4,4,39,2025-04-07 00:42:18,17,1997,11508,117.47,101.0,89.1,17,313,4.54,4,4,1,2,4,6,4,1,2,4,6,4,60.0,193.5,97.75,166.83,39.5,60.0,193.5,97.75,166.83,39.5,Yes,4
post12hb,richly branching,deepest_subtree_KeptinGL6_level4,KeptinGL6,0,4,4,50,2024-06-01 08:27:13,14,193,1087,13.79,15.0,10.48,0,34,4.25,4,4,1,6,3,3,1,1,6,3,3,1,21.0,19.67,7.0,10.0,3.0,21.0,19.67,7.0,10.0,3.0,Yes,4
post12lb,poorly branching,deepest_subtree_WonderfulVegetables_level4,WonderfulVegetables,0,3,3,4,2025-03-08 03:18:23,4,507,2936,126.75,111.5,42.11,87,197,4.72,3,3,1,1,1,1,0,1,1,1,1,0,119.0,104.0,197.0,87.0,0,119.0,104.0,197.0,87.0,0,Yes,4
post13hb,richly branching,deepest_subtree_coyote-1_level4,coyote-1,0,4,4,135,2022-11-21 08:56:26,46,2748,15756,59.74,29.5,88.0,4,534,4.73,4,4,1,8,11,15,11,1,8,11,15,11,172.0,78.62,45.64,68.27,38.27,172.0,78.62,45.64,68.27,38.27,Yes,4
post13lb,poorly branching,deepest_subtree_nottakenusername2027_level4,nottakenusername2027,0,4,4,10,2024-02-07 19:12:16,5,124,588,24.8,17.0,19.04,6,59,3.64,4,4,1,1,1,1,1,1,1,1,1,1,59.0,17.0,11.0,31.0,6.0,59.0,17.0,11.0,31.0,6.0,Yes,4
post14hb,richly branching,deepest_subtree_Objective-Advisor1_level4,Objective-Advisor1,0,4,4,475,2025-01-14 00:36:33,27,1657,9126,61.37,57.0,40.18,8,192,4.32,4,4,1,7,9,6,4,1,7,9,6,4,108.0,42.0,68.33,73.67,49.5,108.0,42.0,68.33,73.67,49.5,Yes,4
post14lb,poorly branching,deepest_subtree_Deleted_level4,Deleted,0,4,4,1,2024-01-07 13:09:09,6,162,832,27.0,16.5,25.13,1,77,4.41,4,4,1,2,1,1,1,1,2,1,1,1,1.0,25.5,13.0,77.0,20.0,1.0,25.5,13.0,77.0,20.0,Yes,4
post15hb,richly branching,deepest_subtree_KaleidoscopeNormal71_level4,KaleidoscopeNormal71,0,4,4,35,2023-12-24 14:40:24,24,1112,6432,46.33,35.0,40.81,5,181,4.72,4,4,1,6,7,4,6,1,6,7,4,6,32.0,26.83,53.29,28.75,71.83,32.0,26.83,53.29,28.75,71.83,Yes,4
