post_id,conversation_type,total_comments,comments_with_disagreement_markers,comments_with_agreement_markers,comments_with_sarcasm_markers,comments_with_weak_markers,disagreement_marker_rate,agreement_marker_rate,sarcasm_marker_rate,weak_marker_rate,avg_depth,avg_score
post10hb,richly branching,31,2,2,13,1,0.065,0.065,0.419,0.032,1.35,7.65
post10lb,poorly branching,6,0,0,4,1,0.000,0.000,0.667,0.167,1.50,2.33
post11lb,poorly branching,46,2,4,27,3,0.043,0.087,0.587,0.065,1.43,4.28
post12hb,richly branching,117,5,3,41,15,0.043,0.026,0.350,0.128,0.64,4.69
post12lb,poorly branching,20,1,5,14,0,0.050,0.250,0.700,0.000,0.65,1.35
post13hb,richly branching,171,10,3,86,8,0.058,0.018,0.503,0.047,1.84,4.96
post13lb,poorly branching,73,3,6,24,0,0.041,0.082,0.329,0.000,1.73,2.01
post14hb,richly branching,398,22,14,169,17,0.055,0.035,0.425,0.043,1.66,15.50
post14lb,poorly branching,34,1,0,18,0,0.029,0.000,0.529,0.000,1.06,6.24
post15hb,richly branching,99,3,5,58,3,0.030,0.051,0.586,0.030,1.02,3.05
post16hb,richly branching,78,5,0,35,3,0.064,0.000,0.449,0.038,1.40,2.03
post16lb,poorly branching,24,0,1,13,0,0.000,0.042,0.542,0.000,0.42,3.79
post17lb,poorly branching,12,0,0,7,0,0.000,0.000,0.583,0.000,1.50,4.75
post18hb,richly branching,452,24,19,226,6,0.053,0.042,0.500,0.013,1.81,2.71
post18lb,poorly branching,67,4,6,29,0,0.060,0.090,0.433,0.000,0.51,9.12
post19hb,richly branching,41,1,1,24,0,0.024,0.024,0.585,0.000,1.63,1.59
post1hb,richly branching,245,19,14,123,6,0.078,0.057,0.502,0.024,1.92,20.17
post1lb,poorly branching,58,4,3,25,1,0.069,0.052,0.431,0.017,1.02,8.28
post20hb,richly branching,595,30,32,323,18,0.050,0.054,0.543,0.030,1.01,10.20
post20lb,poorly branching,11,1,1,8,0,0.091,0.091,0.727,0.000,1.55,13.27
post21hb,richly branching,311,17,12,106,9,0.055,0.039,0.341,0.029,1.67,8.69
post21lb,poorly branching,9,1,0,4,0,0.111,0.000,0.444,0.000,0.78,5.56
post22hb,richly branching,36,0,1,23,5,0.000,0.028,0.639,0.139,1.86,4.00
post22lb,poorly branching,9,1,0,4,0,0.111,0.000,0.444,0.000,0.78,5.89
post23hb,richly branching,85,5,5,52,2,0.059,0.059,0.612,0.024,1.12,3.01
post23lb,poorly branching,31,3,1,17,0,0.097,0.032,0.548,0.000,0.55,5.65
post24hb,richly branching,62,6,1,36,4,0.097,0.016,0.581,0.065,1.85,2.61
post25hb,richly branching,61,3,2,48,0,0.049,0.033,0.787,0.000,1.90,4.67
post25lb,poorly branching,19,1,1,13,0,0.053,0.053,0.684,0.000,0.68,2.11
post26hb,richly branching,170,6,9,81,5,0.035,0.053,0.476,0.029,1.26,3.11
post26lb,poorly branching,17,2,1,7,1,0.118,0.059,0.412,0.059,0.88,3.35
post27hb,richly branching,74,3,4,33,6,0.041,0.054,0.446,0.081,1.35,3.86
post27lb,poorly branching,13,0,0,7,0,0.000,0.000,0.538,0.000,1.69,2.62
post28hb,richly branching,173,12,5,108,8,0.069,0.029,0.624,0.046,1.86,3.25
post28lb,poorly branching,24,0,1,13,0,0.000,0.042,0.542,0.000,0.42,3.58
post29hb,richly branching,355,21,15,164,10,0.059,0.042,0.462,0.028,1.66,3.46
post29lb,poorly branching,67,4,6,29,0,0.060,0.090,0.433,0.000,0.51,8.97
post2hb,richly branching,664,46,25,340,26,0.069,0.038,0.512,0.039,1.44,14.78
post2lb,poorly branching,36,5,0,9,0,0.139,0.000,0.250,0.000,0.83,1.31
post30hb,richly branching,40,2,0,23,0,0.050,0.000,0.575,0.000,1.23,1.07
post30lb,poorly branching,35,2,0,17,1,0.057,0.000,0.486,0.029,1.29,1.40
post31hb,richly branching,156,11,6,60,6,0.071,0.038,0.385,0.038,1.25,20.79
post31lb,poorly branching,12,0,0,7,0,0.000,0.000,0.583,0.000,1.50,3.83
post32hb,richly branching,59,4,0,23,0,0.068,0.000,0.390,0.000,1.49,5.32
post32lb,poorly branching,20,4,0,6,0,0.200,0.000,0.300,0.000,0.95,4.25
post33hb,richly branching,308,16,9,132,14,0.052,0.029,0.429,0.045,1.41,5.61
post33lb,poorly branching,62,2,4,30,1,0.032,0.065,0.484,0.016,0.65,2.53
post34hb,richly branching,328,21,10,134,10,0.064,0.030,0.409,0.030,1.48,2.23
post34lb,poorly branching,92,9,4,38,2,0.098,0.043,0.413,0.022,0.92,5.14
post35hb,richly branching,56,5,2,17,0,0.089,0.036,0.304,0.000,1.59,5.73
post35lb,poorly branching,17,3,1,7,1,0.176,0.059,0.412,0.059,0.94,3.47
post36hb,richly branching,85,5,5,52,2,0.059,0.059,0.612,0.024,1.12,3.02
post36lb,poorly branching,66,5,6,33,0,0.076,0.091,0.500,0.000,0.58,3.18
post37hb,richly branching,87,8,3,38,4,0.092,0.034,0.437,0.046,1.16,3.80
post37lb,poorly branching,113,4,5,72,3,0.035,0.044,0.637,0.027,1.32,3.68
post38lb,poorly branching,38,2,1,19,3,0.053,0.026,0.500,0.079,0.92,18.24
post39hb,richly branching,18,0,1,9,2,0.000,0.056,0.500,0.111,1.56,1.17
post39lb,poorly branching,25,0,1,15,1,0.000,0.040,0.600,0.040,1.16,5.40
post3hb,richly branching,294,26,11,141,11,0.088,0.037,0.480,0.037,1.78,15.26
post40hb,richly branching,102,6,4,50,2,0.059,0.039,0.490,0.020,0.77,2.85
post41hb,richly branching,41,0,3,31,1,0.000,0.073,0.756,0.024,1.41,3.85
post42hb,richly branching,25,1,2,17,0,0.040,0.080,0.680,0.000,1.36,1.28
post44hb,richly branching,27,2,1,18,2,0.074,0.037,0.667,0.074,1.85,2.44
post45hb,richly branching,151,6,7,79,2,0.040,0.046,0.523,0.013,1.36,2.11
post45lb,poorly branching,19,0,0,11,1,0.000,0.000,0.579,0.053,1.42,2.26
post46hb,richly branching,75,5,4,43,2,0.067,0.053,0.573,0.027,1.27,2.57
post46lb,poorly branching,22,0,1,11,1,0.000,0.045,0.500,0.045,0.77,10.45
post47hb,richly branching,245,19,14,122,6,0.078,0.057,0.498,0.024,1.92,20.05
post47lb,poorly branching,14,2,0,10,0,0.143,0.000,0.714,0.000,1.21,2.57
post48hb,richly branching,79,8,3,44,2,0.101,0.038,0.557,0.025,1.72,3.47
post48lb,poorly branching,72,4,2,32,2,0.056,0.028,0.444,0.028,1.61,4.60
post49hb,richly branching,25,2,2,15,0,0.080,0.080,0.600,0.000,1.72,1.92
post49lb,poorly branching,33,2,2,11,0,0.061,0.061,0.333,0.000,1.42,3.06
post4hb,richly branching,248,17,8,133,9,0.069,0.032,0.536,0.036,1.74,7.94
post50hb,richly branching,1908,126,46,1006,75,0.066,0.024,0.527,0.039,1.84,16.72
post50lb,poorly branching,41,0,0,15,1,0.000,0.000,0.366,0.024,0.59,4.32
post51hb,richly branching,98,8,4,51,0,0.082,0.041,0.520,0.000,1.79,3.44
post51lb,poorly branching,12,0,0,5,0,0.000,0.000,0.417,0.000,0.92,0.92
post52hb,richly branching,112,7,0,44,1,0.062,0.000,0.393,0.009,1.75,49.93
post52lb,poorly branching,18,2,2,7,0,0.111,0.111,0.389,0.000,1.17,1.78
post53hb,richly branching,66,3,3,47,1,0.045,0.045,0.712,0.015,1.39,6.05
post53lb,poorly branching,23,4,1,14,2,0.174,0.043,0.609,0.087,1.65,2.09
post54hb,richly branching,162,6,8,90,5,0.037,0.049,0.556,0.031,1.88,28.88
post54lb,poorly branching,8,2,0,3,0,0.250,0.000,0.375,0.000,2.00,1.62
post55hb,richly branching,123,9,3,49,4,0.073,0.024,0.398,0.033,1.91,5.71
post55lb,poorly branching,31,3,0,22,0,0.097,0.000,0.710,0.000,1.39,8.10
post56hb,richly branching,166,11,6,80,9,0.066,0.036,0.482,0.054,1.47,7.86
post57hb,richly branching,140,13,7,88,4,0.093,0.050,0.629,0.029,2.20,12.24
post58hb,richly branching,39,1,1,13,0,0.026,0.026,0.333,0.000,1.00,6.05
post59hb,richly branching,115,8,1,51,7,0.070,0.009,0.443,0.061,1.54,7.24
post5hb,richly branching,924,73,24,397,38,0.079,0.026,0.430,0.041,1.63,28.06
post5lb,poorly branching,9,1,0,7,2,0.111,0.000,0.778,0.222,1.56,2.00
post6hb,richly branching,79,3,1,55,5,0.038,0.013,0.696,0.063,1.85,4.04
post6lb,poorly branching,23,4,0,12,0,0.174,0.000,0.522,0.000,1.91,7.48
post7hb,richly branching,104,5,3,66,0,0.048,0.029,0.635,0.000,1.08,10.38
post7lb,poorly branching,3,0,0,3,1,0.000,0.000,1.000,0.333,1.00,1.33
post8hb,richly branching,228,8,7,95,9,0.035,0.031,0.417,0.039,0.75,34.22
post8lb,poorly branching,54,2,0,25,2,0.037,0.000,0.463,0.037,0.89,2.07
post9hb,richly branching,89,8,8,43,5,0.090,0.090,0.483,0.056,1.30,5.24
post9lb,poorly branching,13,3,1,10,1,0.231,0.077,0.769,0.077,1.08,1.31
