post_id,conversation_type,comment_level,compound_score,sentiment_label
post10hb,richly branching,1,-0.0549,negative
post10hb,richly branching,2,0.829,positive
post10hb,richly branching,3,0.4545,positive
post10hb,richly branching,4,-0.4522,negative
post10hb,richly branching,3,-0.4482,negative
post10hb,richly branching,3,0.631,positive
post10hb,richly branching,2,0.1901,positive
post10hb,richly branching,3,-0.2337,negative
post10hb,richly branching,4,0.0,neutral
post10hb,richly branching,3,0.0,neutral
post10hb,richly branching,2,-0.0772,negative
post10hb,richly branching,1,-0.8225,negative
post10hb,richly branching,1,0.3182,positive
post10hb,richly branching,2,0.0,neutral
post10hb,richly branching,1,0.5346,positive
post10hb,richly branching,2,0.9477,positive
post10hb,richly branching,3,0.1739,positive
post10hb,richly branching,1,0.6172,positive
post10hb,richly branching,1,0.0,neutral
post10hb,richly branching,1,0.7579,positive
post10hb,richly branching,1,0.8793,positive
post10hb,richly branching,1,0.0,neutral
post10hb,richly branching,2,-0.296,negative
post10hb,richly branching,1,0.3818,positive
post10hb,richly branching,2,0.1969,positive
post10hb,richly branching,3,0.2263,positive
post10hb,richly branching,4,0.5106,positive
post10hb,richly branching,3,0.9337,positive
post10hb,richly branching,4,0.8074,positive
post10hb,richly branching,4,-0.4064,negative
post10lb,poorly branching,1,0.5267,positive
post10lb,poorly branching,1,0.5187,positive
post10lb,poorly branching,2,0.8625,positive
post10lb,poorly branching,3,0.7783,positive
post10lb,poorly branching,4,0.7317,positive
post10lb,poorly branching,4,-0.793,negative
post11lb,poorly branching,1,0.9737,positive
post11lb,poorly branching,1,0.7888,positive
post11lb,poorly branching,2,0.7693,positive
post11lb,poorly branching,3,-0.2023,negative
post11lb,poorly branching,4,0.9791,positive
post11lb,poorly branching,4,-0.2617,negative
post11lb,poorly branching,2,0.6474,positive
post11lb,poorly branching,3,0.3744,positive
post11lb,poorly branching,4,-0.564,negative
post11lb,poorly branching,3,-0.1155,negative
post11lb,poorly branching,3,0.9436,positive
post11lb,poorly branching,4,0.8442,positive
post11lb,poorly branching,4,0.9688,positive
post11lb,poorly branching,4,0.9878,positive
post11lb,poorly branching,1,0.7579,positive
post11lb,poorly branching,2,0.9855,positive
post11lb,poorly branching,2,-0.6576,negative
post11lb,poorly branching,3,0.5106,positive
post11lb,poorly branching,4,0.2197,positive
post11lb,poorly branching,4,-0.0129,neutral
post11lb,poorly branching,2,0.4215,positive
post11lb,poorly branching,2,0.0,neutral
post11lb,poorly branching,2,0.4404,positive
post11lb,poorly branching,1,0.9446,positive
post11lb,poorly branching,1,0.325,positive
post11lb,poorly branching,1,-0.885,negative
post11lb,poorly branching,2,0.4215,positive
post11lb,poorly branching,1,0.3527,positive
post11lb,poorly branching,1,-0.1027,negative
post11lb,poorly branching,1,-0.2263,negative
post11lb,poorly branching,1,-0.2023,negative
post11lb,poorly branching,1,0.9432,positive
post11lb,poorly branching,1,0.9387,positive
post11lb,poorly branching,1,-0.2732,negative
post11lb,poorly branching,1,0.3182,positive
post11lb,poorly branching,1,0.4588,positive
post11lb,poorly branching,1,0.3765,positive
post11lb,poorly branching,1,0.2732,positive
post11lb,poorly branching,1,0.9666,positive
post11lb,poorly branching,1,0.7946,positive
post12hb,richly branching,1,0.8436,positive
post12hb,richly branching,1,0.0,neutral
post12hb,richly branching,2,0.9937,positive
