Post ID,Conversation Type,Post Title,Total Replies,Maximum Depth,Active Subtrees,Avg Subtree Size,Max Subtree Size,Avg Subtree Depth,Total Duration (hours),Time to 80% Engagement (hours),Time to 90% Engagement (hours),Subtrees Stabilize (hours),Max Depth Stabilize (hours),Replies at 1h,Replies at 2h,Replies at 6h,Replies at 12h,Replies at 24h,Max Depth at 6h,Max Depth at 12h,Active Subtrees at 6h,Active Subtrees at 12h,Avg Subtree Size at 6h,Avg Subtree Size at 12h,Max Subtree Size at 6h,Max Subtree Size at 12h
post10hb,richly branching,Why we need more Women in AI,35,9,10,3.5,16,2.5,48,,,,36,0,1,4,15,17,3,4,2,5,2.0,3.0,3,7
post10lb,poorly branching,"Despite the STEM gender gap, most of the researchers at this B.C. AI lab are women",6,4,2,3.0,5,2.5,12,6,12,1,6,2,2,5,6,0,4,4,2,2,2.5,3.0,4,5
post11lb,poorly branching,"AI could affect 40% of jobs and widen inequality between nations, UN warns - Artificial intelligence is projected to reach $4.8 trillion in market value by 2033, roughly equating to the size of Germany’s economy, the U.N. Trade and Development agency said in a report.",52,10,19,2.736842105263158,22,1.7894736842105263,48,48,,,,3,7,13,25,37,4,5,8,12,1.625,2.0833333333333335,6,7
post12hb,richly branching,Why are most AI voices women's voices?,117,5,70,1.6714285714285715,14,1.4428571428571428,48,18,24,36,8,2,7,36,80,106,4,5,21,45,1.7142857142857142,1.7777777777777777,10,13
post12lb,poorly branching,Skill and knowledge reduction with AI,20,4,11,1.8181818181818181,4,1.8181818181818181,26,24,,24,,3,3,6,10,17,1,3,6,8,1.0,1.25,1,3
post13hb,richly branching,Study: Automation drives income inequality,267,24,39,6.846153846153846,100,2.7435897435897436,48,12,18,12,12,9,29,161,238,252,21,24,26,36,6.1923076923076925,6.611111111111111,85,96
post13lb,poorly branching,Does anyone work full time at Data Annotation and how is it?,79,7,15,5.266666666666667,25,3.0,48,,,,,0,0,0,0,4,0,0,0,0,0,0,0,0
post14hb,richly branching,'Godfather of AI' explains how 'scary' AI will increase the wealth gap and 'make society worse',473,16,108,4.37962962962963,197,1.7592592592592593,48,18,24,24,24,22,64,150,320,456,7,11,43,78,3.488372093023256,4.102564102564102,66,152
post14lb,poorly branching,Working dataannotation full time?,45,11,17,2.6470588235294117,12,2.411764705882353,48,,,,36,9,13,21,26,31,9,9,9,13,2.3333333333333335,2.0,10,10
post15hb,richly branching,Will AI help or hurt Wealth Inequality over the next 10 years?,108,7,52,2.076923076923077,30,1.4807692307692308,48,24,36,24,6,7,22,53,72,91,7,7,23,35,2.3043478260869565,2.057142857142857,16,21
post16hb,richly branching,Will AI Displace More Jobs Than It Creates?,93,9,24,3.875,21,2.6666666666666665,48,4,,1,18,62,74,77,81,82,8,8,23,23,3.347826086956522,3.5217391304347827,14,18
post16lb,poorly branching,What do you do when your current skill set is replaced by AI?,25,3,16,1.5625,4,1.4375,32,8,18,24,4,2,4,14,22,24,3,3,10,13,1.4,1.6923076923076923,3,4
post17lb,poorly branching,[R] academic survey about diversity in AI development/research teams,25,18,3,8.333333333333334,22,7.0,18,12,18,4,18,2,3,12,22,0,6,16,3,3,4.0,7.333333333333333,10,20
post18hb,richly branching,Avoid this company: Data Annotation,575,17,98,5.86734693877551,127,2.295918367346939,48,,,,,3,14,43,58,78,10,10,10,15,4.3,3.8666666666666667,20,23
post18lb,poorly branching,Is AI actually replacing anyone's job?,73,5,46,1.5869565217391304,6,1.4565217391304348,3,,,,2,40,58,0,0,0,0,0,0,0,0,0,0,0
post19hb,richly branching,"CMV: OpenAI’s ""ethical AI"" is a myth . Their model is racist, classist, and exploitative",53,13,13,4.076923076923077,20,3.3076923076923075,48,6,18,18,2,30,38,45,47,52,13,13,10,11,4.5,4.2727272727272725,19,20
post1hb,richly branching,AI generates covertly racist decisions about people based on their dialect,414,22,46,9.0,193,3.217391304347826,48,12,24,18,4,43,96,228,340,387,22,22,28,39,8.142857142857142,8.717948717948717,102,152
post1lb,poorly branching,"OpenAI's ChatGPT showed racial bias when screening resumes for jobs, a Bloomberg investigation found, The AI tool over-selected Asian women candidates and under-selected Black men",60,6,19,3.1578947368421053,9,2.263157894736842,20,18,18,18,12,7,8,18,37,0,3,6,8,13,2.25,2.8461538461538463,6,9
post20hb,richly branching,AI is ruinning our industry,657,13,311,2.112540192926045,117,1.3569131832797428,48,48,,,18,49,97,171,279,451,8,8,74,116,2.310810810810811,2.4051724137931036,58,71
post20lb,poorly branching,"Why are facial recognition algorithms ""racist""?",11,5,2,5.5,9,3.5,48,36,,,36,0,0,2,2,7,2,2,1,1,2.0,2.0,2,2
post21hb,richly branching,OpenAI has removed the diversity commitment web page from its site,388,14,75,5.173333333333333,80,2.1333333333333333,48,24,48,36,,46,79,216,267,318,12,12,48,55,4.5,4.8545454545454545,56,63
