fract_dimension_type,keyword,score
highest,bias racism,0.5651
highest,racist ai,0.5586
highest,racism bias,0.5475
highest,racist sexist,0.5432
highest,ai racist,0.5423
highest,intrinsic racism,0.5372
highest,sexist racist,0.5352
highest,sexism racism,0.534
highest,racism sexism,0.5294
highest,brain racism,0.5254
highest,racial biases,0.5242
highest,racist bias,0.5222
highest,ingrained racism,0.5148
highest,racist outcomes,0.5144
highest,discriminating race,0.5142
highest,racism results,0.5108
highest,sentencing ai,0.5102
highest,sentencing aí,0.5102
highest,causes racism,0.5075
highest,outcomes racist,0.5026
highest,result racism,0.5022
highest,solve racism,0.5011
highest,racial bias,0.501
highest,discriminatory biases,0.4996
highest,racist training,0.4967
highest,ai sentencing,0.4967
highest,process racism,0.4929
highest,causes racist,0.4922
highest,biased racist,0.4913
highest,programmed racist,0.4895
lowest,multilingual bias,0.4977
lowest,multilingual evaluations,0.4545
lowest,studies ai,0.4372
lowest,multilingual,0.4225
lowest,include multilingual,0.3885
lowest,hiring gender,0.3816
lowest,ai change,0.3779
lowest,used multilingual,0.3745
lowest,ai perceptions,0.3712
lowest,ai training,0.3615
lowest,ai make,0.3553
lowest,ai new,0.3531
lowest,languages love,0.3482
lowest,need specialization,0.3447
lowest,english idea,0.3446
lowest,male hiring,0.3387
lowest,basically ai,0.3377
lowest,bias probing,0.333
lowest,languages,0.3306
lowest,ai trained,0.3301
lowest,ai,0.329
lowest,gender roles,0.3274
lowest,gender bias,0.3263
lowest,ai really,0.3261
lowest,photographer learn,0.3253
lowest,bias programmer,0.321
lowest,saying ai,0.321
lowest,work culture,0.3208
lowest,applications male,0.3166
lowest,evaluate gender,0.3162
