post_id,conversation_type,comment_level,compound_score,sentiment_label
post10hb,richly branching,1,-0.0549,negative
post10hb,richly branching,2,0.829,positive
post10hb,richly branching,3,0.4545,positive
post10hb,richly branching,4,-0.4522,negative
post10hb,richly branching,3,-0.4482,negative
post10hb,richly branching,3,0.631,positive
post10hb,richly branching,2,0.1901,positive
post10hb,richly branching,3,-0.2337,negative
post10hb,richly branching,4,0.0,neutral
post10hb,richly branching,3,0.0,neutral
post10hb,richly branching,2,-0.0772,negative
post10lb,poorly branching,1,0.5187,positive
post10lb,poorly branching,2,0.8625,positive
post10lb,poorly branching,3,0.7783,positive
post10lb,poorly branching,4,0.7317,positive
post10lb,poorly branching,4,-0.793,negative
post11lb,poorly branching,1,0.7888,positive
post11lb,poorly branching,2,0.7693,positive
post11lb,poorly branching,3,-0.2023,negative
post11lb,poorly branching,4,0.9791,positive
post11lb,poorly branching,4,-0.2617,negative
post11lb,poorly branching,2,0.6474,positive
post11lb,poorly branching,3,0.3744,positive
post11lb,poorly branching,4,-0.564,negative
post11lb,poorly branching,3,-0.1155,negative
post11lb,poorly branching,3,0.9436,positive
post11lb,poorly branching,4,0.8442,positive
post11lb,poorly branching,4,0.9688,positive
post11lb,poorly branching,4,0.9878,positive
post12hb,richly branching,1,0.3384,positive
post12hb,richly branching,2,0.4389,positive
post12hb,richly branching,2,0.0,neutral
post12hb,richly branching,2,0.7897,positive
post12hb,richly branching,2,0.5574,positive
post12hb,richly branching,2,-0.25,negative
post12hb,richly branching,2,0.0,neutral
post12hb,richly branching,3,0.784,positive
post12hb,richly branching,4,0.69,positive
post12hb,richly branching,4,-0.6956,negative
post12hb,richly branching,3,0.0,neutral
post12hb,richly branching,3,0.0,neutral
post12hb,richly branching,4,0.0,neutral
post12lb,poorly branching,1,0.9553,positive
post12lb,poorly branching,2,-0.5473,negative
post12lb,poorly branching,3,-0.8393,negative
post12lb,poorly branching,4,0.2456,positive
post13hb,richly branching,1,-0.3174,negative
post13hb,richly branching,2,-0.7906,negative
post13hb,richly branching,3,0.0,neutral
post13hb,richly branching,4,0.5562,positive
post13hb,richly branching,2,0.2991,positive
post13hb,richly branching,3,-0.5859,negative
post13hb,richly branching,3,0.5816,positive
post13hb,richly branching,4,0.9704,positive
post13hb,richly branching,3,-0.3818,negative
post13hb,richly branching,4,0.1999,positive
post13hb,richly branching,4,0.7263,positive
post13hb,richly branching,4,-0.4973,negative
post13hb,richly branching,3,0.0,neutral
post13hb,richly branching,4,0.3197,positive
post13hb,richly branching,4,0.0,neutral
post13hb,richly branching,4,0.6249,positive
post13hb,richly branching,3,0.2732,positive
post13hb,richly branching,4,0.0772,positive
post13hb,richly branching,3,0.0,neutral
post13hb,richly branching,3,0.2661,positive
post13hb,richly branching,3,0.0772,positive
post13hb,richly branching,4,0.0024,neutral
post13hb,richly branching,2,-0.296,negative
post13hb,richly branching,3,-0.7003,negative
post13hb,richly branching,4,0.0258,neutral
post13hb,richly branching,2,0.25,positive
post13hb,richly branching,2,0.9509,positive
post13hb,richly branching,2,-0.9204,negative
post13hb,richly branching,3,0.2023,positive
post13hb,richly branching,4,0.705,positive
post13hb,richly branching,4,-0.8696,negative
post13hb,richly branching,4,-0.128,negative
post13hb,richly branching,4,0.1923,positive
post13hb,richly branching,2,0.0,neutral
