post_id,conversation_type,total_comments,max_depth_level,median_core_sentiment_compound_score,mean_compound_all_levels,sentiment_positive_ratio,sentiment_negative_ratio,sentiment_neutral_ratio,median_sentiment_polarization_score,median_sentiment_strength_score,mean_sentiment_polarization,mean_sentiment_strength
post10hb,richly branching,11,4,0.0,0.0762,0.364,0.455,0.182,0.2337,0.2337,0.3064,0.3064
post10lb,poorly branching,5,4,0.7317,0.4196,0.8,0.2,0.0,0.7783,0.7783,0.7368,0.7368
post11lb,poorly branching,13,4,0.7693,0.4738,0.692,0.308,0.0,0.7693,0.7693,0.6498,0.6498
post12hb,richly branching,13,4,0.0,0.2041,0.462,0.154,0.385,0.3384,0.3384,0.3495,0.3495
post12lb,poorly branching,4,4,-0.1508,-0.0464,0.5,0.5,0.0,0.6933,0.6933,0.6469,0.6469
post13hb,richly branching,35,4,0.0258,0.0488,0.486,0.314,0.2,0.296,0.296,0.3684,0.3684
post13lb,poorly branching,4,4,0.0,0.0205,0.25,0.25,0.5,0.2653,0.2653,0.2858,0.2858
post14hb,richly branching,23,4,0.0,0.027,0.391,0.478,0.13,0.4003,0.4003,0.4844,0.4844
post14lb,poorly branching,5,4,0.0,0.2686,0.4,0.2,0.4,0.1531,0.1531,0.3298,0.3298
post15hb,richly branching,4,4,0.379,0.1481,0.75,0.25,0.0,0.7313,0.7313,0.6346,0.6346
post16hb,richly branching,9,4,0.4234,0.2098,0.556,0.333,0.111,0.6295,0.6295,0.5394,0.5394
post16lb,poorly branching,3,3,0.0,0.1767,0.333,0.333,0.333,0.1796,0.1796,0.2964,0.2964
post17lb,poorly branching,8,4,0.4016,0.2653,0.75,0.125,0.125,0.431,0.431,0.4222,0.4222
post18hb,richly branching,53,4,0.0,0.0629,0.377,0.302,0.321,0.296,0.296,0.3661,0.3661
post18lb,poorly branching,5,4,0.0,-0.0767,0.0,0.2,0.8,0.0,0.0,0.0767,0.0767
post19hb,richly branching,7,4,0.6224,0.3801,0.571,0.429,0.0,0.6224,0.6224,0.5465,0.5465
post1hb,richly branching,63,4,0.0,0.075,0.429,0.333,0.238,0.3182,0.3182,0.3516,0.3516
post1lb,poorly branching,8,4,0.499,0.4045,0.75,0.125,0.125,0.5087,0.5087,0.4996,0.4996
post20hb,richly branching,52,4,0.4215,0.3701,0.692,0.173,0.135,0.4322,0.4322,0.5072,0.5072
post20lb,poorly branching,8,4,0.4606,0.2164,0.625,0.25,0.125,0.6427,0.6427,0.5902,0.5902
post21hb,richly branching,28,4,0.2712,0.208,0.536,0.214,0.25,0.4212,0.4212,0.3865,0.3865
post21lb,poorly branching,5,3,-0.4019,-0.1781,0.4,0.6,0.0,0.4215,0.4215,0.5146,0.5146
post22hb,richly branching,7,4,0.0,-0.1332,0.429,0.429,0.143,0.4754,0.4754,0.4599,0.4599
post22lb,poorly branching,5,3,-0.4019,-0.1781,0.4,0.6,0.0,0.4215,0.4215,0.5146,0.5146
post23hb,richly branching,5,4,0.0,0.0672,0.4,0.2,0.4,0.2263,0.2263,0.1919,0.1919
post23lb,poorly branching,6,3,-0.2323,-0.2214,0.167,0.5,0.333,0.5252,0.5252,0.4517,0.4517
post24hb,richly branching,10,4,-0.2164,-0.1858,0.2,0.6,0.2,0.445,0.445,0.4542,0.4542
post25hb,richly branching,8,4,-0.3043,-0.0962,0.375,0.625,0.0,0.5474,0.5474,0.5752,0.5752
